model,log_loss,f1,accuracy,roc_auc
Наївний baseline (константа),0.6555180369673195,0.0,0.6362988202095404,0.5
Поріг на word_share_jaccard,0.6484837139877258,0.6324153166421208,0.6253639938758968,0.732249902150367
Logistic Regression (TF-IDF + features),0.42615849948322887,0.6978432051226583,0.7903470325117828,0.8732035759776542
XGBoost (TF-IDF),0.44898539781570435,0.6531740854696908,0.7745451952808382,0.8587751076807791
Logistic Regression (Word2Vec),0.49258526966745997,0.6230917049215331,0.7350349734321996,0.8157187805665522
XGBoost (Word2Vec),0.3605206310749054,0.7806612046174384,0.8427809132118519,0.9224487450815834
